"","screenName","location","latitude","longitude","state"
"702","sydnastey","Rocky Mount, VA",36.9976403,-79.8919774,"Virginia"
"703","yungabbi","birmingham / mk",33.4173176,-86.6834437,"Alabama"
"704","AndrewRei15","Portland, Oregon",45.5122308,-122.6587185,"Oregon"
"707","steven24stewart","Corona, CA",33.8752935,-117.5664384,"California"
"710","OBobbyj","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"711","itsdamilolaa","planet earth",41.909611,-87.771964,"Illinois"
"712","MumfordJoy","Long Beach, CA",33.7700504,-118.1937395,"California"
"713","love_bender01","Pekin, IL",40.5675388,-89.640658,"Illinois"
"714","Lamacc_","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"718","Samartix15","The Future",44.9393945,-93.2394493,"Minnesota"
"719","TranceTriton","Texas",31.9685988,-99.9018131,"Texas"
"720","haileyfab","Las Vegas, NV",36.1699412,-115.1398296,"Nevada"
"721","x_bloodline","ohio",40.4172871,-82.907123,"Ohio"
"722","SamiHyer","Ripon, CA",37.7394537,-121.1354141,"California"
"726","KikaoTheWolf","5th Dimension",40.146401,-88.276067,"Illinois"
"727","bigsurswift","Earth, Universe",36.1568902,-95.9915346,"Oklahoma"
"728","JHasselberger","Sandy Hook, CT  USA",41.4218208,-73.2833176,"Connecticut"
"731","importedmuslim","Houston, TX",29.7604267,-95.3698028,"Texas"
"733","Jonna_Shea","Edmond/Stillwater Oklahoma",35.6218697,-97.4832438,"Oklahoma"
"740","muva614","Neptune ",47.6611901,-122.3140371,"Washington"
"741","rinduelle","90-ST.",40.7484367,-73.8765289,"New York"
"742","Riles945","Mathis, TX",28.0944558,-97.8280543,"Texas"
"743","NerminKekic","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"744","GarethGordon","Everywhere",33.7589188,-84.3640829,"Georgia"
"746","AlexisGarrett_","St Petersburg, FL",27.7676008,-82.6402915,"Florida"
"747","rileym_kiefer","North Carolina, USA",35.7595731,-79.0192997,"North Carolina"
"748","SkylarNoDiggins","Remote",43.0059455,-123.8925908,"Oregon"
"749","bake718","Brooklyn, The World",40.6188134,-74.0021511,"New York"
"750","___marieeejaeee","Oxford, AL",33.6142714,-85.8349648,"Alabama"
"754","SaintNurse","Oregon (Lost Californian)",41.94,-121.5052778,"California"
"755","GeekElite","Seattle, WA",47.6062095,-122.3320708,"Washington"
"756","_taymaraaaa","Wichita, KS",37.6871761,-97.330053,"Kansas"
"758","misskatemaxwell","Raleigh, NC",35.7795897,-78.6381787,"North Carolina"
"759","Shawnie610","Chester, PA",39.849557,-75.3557457,"Pennsylvania"
"762","J_Riv19","Orland Hills, IL<U+27A1><U+FE0F> Mequon, Wi",41.5853107,-87.8431078,"Illinois"
"765","__iBreakHearts","Columbia, SC",34.0007104,-81.0348144,"South Carolina"
"766","KikiWrites","The Cornfield, IL",41.209562,-88.6452885,"Illinois"
"768","NewDay64671264","Nowhere",40.7317696,-73.9841161,"New York"
"769","derea13","Des Moines, IA",41.5868353,-93.6249593,"Iowa"
"770","randyrrworley","Houston, Texas",29.7604267,-95.3698028,"Texas"
"773","FasanMichael","Worldwide",36.249758,-95.266826,"Oklahoma"
"774","LatezMW","san antonio",29.4241219,-98.4936282,"Texas"
"775","TylerViall","Battle Ground, WA",45.7806939,-122.5475467,"Washington"
"778","ft_Kill","Flagstaff, AZ",35.1982836,-111.651302,"Arizona"
"780","DigitalxRequiem","Taunton, MA",41.900101,-71.0897674,"Massachusetts"
