"","screenName","location","latitude","longitude","state"
"320","makaylathai_","St George, UT",37.0965278,-113.5684164,"Utah"
"322","PandoraFiles","Massachusetts",42.4072107,-71.3824374,"Massachusetts"
"323","AnnaLaca1","Fallon, NV",39.4748693,-118.7770407,"Nevada"
"324","LeighComa","Hell ",42.43472,-83.985,"Michigan"
"325","mennekinpis","New York, USA",40.7127753,-74.0059728,"New York"
"326","julie_smit3776","Minnesota",46.729553,-94.6858998,"Minnesota"
"328","carevantexas","Texas",31.9685988,-99.9018131,"Texas"
"329","DocOlmstead","Apopka",28.6934076,-81.5322149,"Florida"
"330","jerseyshorelisa","Jersey Shore",39.9652553,-74.3118212,"New Jersey"
"333","jen_myPsalms182","Texas",31.9685988,-99.9018131,"Texas"
"334","lacyfm","Olympia, WA",47.0378741,-122.9006951,"Washington"
"335","HealthyLivingNW","Washington and Oregon",47.100223,-122.2425491,"Washington"
"337","drcmgonzalez","El Paso, TX ",31.7618778,-106.4850217,"Texas"
"338","Duncan14118798","Charlotte, NC",35.2270869,-80.8431267,"North Carolina"
"342","YMacPherson","Boston, MA",42.3600825,-71.0588801,"Massachusetts"
"343","jadeemarieed","East Liverpool, OH ",40.6186756,-80.5772928,"Ohio"
"344","IDSAInfo","Arlington, VA",38.8816208,-77.0909809,"Virginia"
"345","judymorris3","Delaware, USA",38.9108325,-75.5276699,"Delaware"
"346","WelltopiaP","Thiensville, WI",43.2375067,-87.9787001,"Wisconsin"
"347","issyagurlerca","UML ",36.6951715,-97.0894044,"Oklahoma"
"348","ElectriKolor","Verona, WI",42.990831,-89.5331773,"Wisconsin"
"349","docmalerba","Upstate New York",43.0422845,-76.1398137,"New York"
"350","realDonaldScott","Pennsylvania",41.2033216,-77.1945247,"Pennsylvania"
"351","forcedanarchy","NY",40.7127753,-74.0059728,"New York"
"355","Jack_ElHai","Minneapolis, Minnesota, U.S.A.",44.977753,-93.2650108,"Minnesota"
"356","MITdeptofBE","Cambridge, Massachusetts",42.3736158,-71.1097335,"Massachusetts"
"357","johnmcp66","Arizona, USA",34.0489281,-111.0937311,"Arizona"
