"","screenName","location","latitude","longitude","state"
"511","JoeSkurz_KMOT","Minot, ND",48.2329668,-101.2922906,"North Dakota"
"515","libertylives277","California, USA",36.778261,-119.4179324,"California"
"517","iPractitioner","Portland, ME",43.6590993,-70.2568189,"Maine"
"521","KaneCoHealth","Aurora, Illinois",41.7605849,-88.3200715,"Illinois"
"524","CheekyRaveness","Birdlandia, Iowa.",41.8780025,-93.097702,"Iowa"
"525","IsItTJ","WA",47.7510741,-120.7401385,"Washington"
"526","MinnieSkeptic","Minneapolis, MN",44.977753,-93.2650108,"Minnesota"
"538","leslierachelle","Portland, OR",45.5122308,-122.6587185,"Oregon"
"541","letteratur_arte","Roma",36.0766378,-95.9036356,"Oklahoma"
"542","suzie_x15","New York, USA",40.7127753,-74.0059728,"New York"
"543","SoResearchNews","Ala., Md., N.C., Ga.,Texas",35.7595731,-79.0192997,"North Carolina"
"547","EarlyReport","Chicago",41.8781136,-87.6297982,"Illinois"
"549","PURECompRx","Myrtle Beach, SC",33.6890603,-78.8866943,"South Carolina"
"552","FConfiablesNews","Global",37.0329949,-95.6400855,"Kansas"
"554","KFYRTV","Bismarck, North Dakota",46.8083268,-100.7837392,"North Dakota"
"560","lj_tan","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"564","Paradox_GameNet","Planet Earth",41.909611,-87.771964,"Illinois"
"568","SanofiUS","Bridgewater, NJ",40.5939636,-74.6049061,"New Jersey"
"570","Linds_E_Parker","Sioux City, Iowa",42.4963416,-96.4049408,"Iowa"
"572","OSUEMEdu","Columbus, OH",39.9611755,-82.9987942,"Ohio"
"573","nickwohlge","Memphis, TN",35.1495343,-90.0489801,"Tennessee"
"577","nottinghilI","Milano",39.0825197,-94.5823061,"Missouri"
"581","apemke","Florida, USA",27.6648274,-81.5157535,"Florida"
"586","RJtheFireDog","LA and New York City",40.7762676,-73.977617,"New York"
"587","mathematista","Memphis, TN",35.1495343,-90.0489801,"Tennessee"
"595","AlrightNowHQ","Across the Universe",34.0126379,-118.495155,"California"
"596","hesvnlight_","Los Angeles, CA",34.0522342,-118.2436849,"California"
"597","thesoul77","National City, CA.",32.6781085,-117.0991967,"California"
"599","SeemaJJIC","New York, New Jersey",40.7878788,-74.0143064,"New Jersey"
"600","WCSNewsroom","Global",37.0329949,-95.6400855,"Kansas"
"602","mercola","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"604","Alexanderspie","City of Glass & Degrassi High",36.1569627,-95.9751989,"Oklahoma"
"606","Itz_Realone","Planet Earth",41.909611,-87.771964,"Illinois"
"607","cuoredivetro_","Mangiando pizza.",40.8083904,-74.4632691,"New Jersey"
"608","PawsU","Central Wisconsin",44.784201,-89.67268,"Wisconsin"
"611","AmeshAA","Pittsburgh, Baltimore, NYC",39.2903848,-76.6121893,"Maryland"
"613","Jess_DiPalma","north tonawanda",43.038668,-78.8642033,"New York"
"614","TSystem","Dallas, Texas",32.7766642,-96.7969879,"Texas"
"615","salliegoetsch","Oakley, CA (California Delta)",38.0062966,-121.7525413,"California"
"620","fynralyl","DFW area",32.7078751,-96.9209135,"Texas"
"621","psynister","Waxahachie, Texas",32.3865312,-96.8483311,"Texas"
"622","arynpeters","Decatur, IL",39.8403147,-88.9548001,"Illinois"
"624","PEMTweets","Cincinnati, OH",39.1031182,-84.5120196,"Ohio"
"625","beasonsaver","Grand Blanc, MI",42.9275277,-83.6299518,"Michigan"
"627","EsqJeanne","Boca Raton, FL",26.3683064,-80.1289321,"Florida"
"633","nicolaferrini","Roma",36.0766378,-95.9036356,"Oklahoma"
"635","denissechaconn","Portland, OR",45.5122308,-122.6587185,"Oregon"
"637","ImmunizeCOKids","Colorado",39.5500507,-105.7820674,"Colorado"
"640","AwzRocks","Neosho, MO",36.8689554,-94.367996,"Missouri"
"644","demitrariel","Kokomo",40.486427,-86.1336033,"Indiana"
"645","ScroochMagooch","Valparaiso, IN",41.4730948,-87.0611412,"Indiana"
"646","bcbssc","South Carolina, USA",33.836081,-81.1637245,"South Carolina"
"648","TheWCS","Worldwide",36.249758,-95.266826,"Oklahoma"
"649","HVWilliamsburg","Lincoln, NE",40.813616,-96.7025955,"Nebraska"
"650","Tiger_Medical","Irvington, NJ",40.7263249,-74.2286435,"New Jersey"
"652","MANA_Clinics","Northwest Arkansas",36.0148605,-94.2333355,"Arkansas"
"667","Smcd613","Buffalo, NY",42.8864468,-78.8783689,"New York"
"669","LucaFranzon","Ferrara",40.7190764,-73.9970864,"New York"
"671","CTPharmacists","Rocky Hill, CT",41.6572525,-72.6655757,"Connecticut"
"674","madejaaaa","Urbandale, IA",41.6266555,-93.7121656,"Iowa"
"676","NauticalMiles33","Michigan",44.3148443,-85.6023643,"Michigan"
"680","steveathanas","Massachusetts, USA",42.4072107,-71.3824374,"Massachusetts"
"681","jenmariewallace","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"688","iAppleMustache","Lalalaland",26.3496347,-80.2289571,"Florida"
"691","LaneRMC","Zachary, LA",30.6485191,-91.1564961,"Louisiana"
"692","KPkiddoc","Vacaville, CA",38.3565773,-121.9877444,"California"
"693","microRNApro","Northern Georgia",33.5561144,-84.2645382,"Georgia"
