"","screenName","location","latitude","longitude"
"1780","FNBRUnreleased","youtube.com/c/FortniteBRLeaks",NA,NA
"1781","thepres5","United States",37.09024,-95.712891
"1782","pres5ar","United States",37.09024,-95.712891
"1783","Ctonhunter","Working or Sleeping",NA,NA
"1784","th3cyF0x","Zanzibar Land",NA,NA
"1785","therealtiscia","uncc",35.3070929,-80.735164
"1786","straychoi","e l e v e n",36.3817069,-94.2031628
"1787","Mualbader","kuwait",29.31166,47.481766
"1788","Kiingdom__","i<U+2661>mobay",18.4762228,-77.8938895
"1789","JCW_91","South Manchester",53.4809346,-2.2473039
"1790","NatalieRosePoir","California, USA",36.778261,-119.4179324
"1791","Glamorous_Ka","Southern Gal <U+2728>",NA,NA
"1792","salman_ilyas995","Dubai, United Arab Emirates",25.2048493,55.2707828
"1793","mareslauraaa_","Santa Ana, CA",33.7454725,-117.867653
"1794","PrettiMsShay","In My Own World",NA,NA
"1795","imafanofavocado","LA and SoFL",34.0522342,-118.2436849
"1796","OGPeez_","In A Pair Of Jordan III's Tryna Chase This Cash",NA,NA
"1797","TheSharktonaut","Connecticut, USA",41.6032207,-73.087749
"1798","michaelaa_pope","Portage, MI",42.2011538,-85.5800022
"1799","dagashin_sao","<U+3048><U+3059><U+3048><U+30FC><U+3058><U+30FC><U+3048><U+30FC>",NA,NA
"1800","NARlOKART","i love cora soooooo much",NA,NA
"1801","MrS_Go_Get_iiTT","<U+0001F5A4>",NA,NA
"1802","NotLenz","Singapore",1.352083,103.819836
"1803","Crochell_x33","Sleep or at work",NA,NA
"1804","Breonna_Madry","NASA",29.5593451,-95.089998
"1805","Gazjor1","New Malden, Surrey",51.400663,-0.259263
"1806","TC_1018","Kansas City, Missouri",39.0997265,-94.5785667
"1807","TRi0_ThreeTimes","Believeland...",41.506431,-81.699154
"1808","BlaqBoyEmpire1","Everywhere You Go ",NA,NA
"1809","yoongstrology","sun¤: <U+264F>  moon <U+263E> : <U+264D>",NA,NA
"1810","3ethanyB","chasing waterfalls with Z <U+0001F498>",NA,NA
"1811","BulletProneBoi","Wisconsin, USA",43.7844397,-88.7878678
"1812","charmingfancy","Buckingham, England",51.999326,-0.987645
"1813","_MarleyDntShoot","Throne Of Atlantis",NA,NA
"1814","itsmiguelaB","<U+0395>se<U+03AF><U+03C2>",NA,NA
"1815","eastissup","14 2 19",NA,NA
"1816","dumplindaughter","Dallas, Texas",32.7766642,-96.7969879
"1817","AdaolisaGideon","Enugu, Nigeria",6.4583661,7.5463885
"1818","Alex_Crean","Manchester, England",53.4807593,-2.2426305
"1819","ArmouredMecenas","— • <U+1D21><U+0280><U+026A><U+1D1B><U+1D1B><U+1D07><U+0274> <U+0299><U+028F> #<U+1D00><U+0274><U+0262>s<U+1D1B>o<U+1D1C><U+1D07><U+1D07><U+0274>",NA,NA
"1820","stay_alive06","Mabalacat City",15.2228709,120.5744387
"1821","Ashleyvasquez_","Phoenix, AZ",33.4483771,-112.0740373
"1822","insanitywelcome","Oregon City, OR",45.3363593,-122.6048473
"1823","obabowale_","Canada In Jesus Name",43.7754191,-79.2750528
"1824","LauraSpicer163","Leicester, England",52.6368778,-1.1397592
"1825","jacob__zepeda","Flower Fields",33.1230447,-117.3175875
"1826","RedHeadedAuthor","Oregon, USA",43.8041334,-120.5542012
