"","screenName","location","latitude","longitude"
"87","kriebel_ann","Ardmore, PA",40.0067785,-75.2854622
"88","joewalter9999","St. Paul, MN",44.9537029,-93.0899578
"89","Scalabro3","Roma, Lazio",41.8902259,12.5065278
"90","rosnqueen","Tucson, AZ",32.2226066,-110.9747108
"92","SoloAcMilan1","Paderno Dugnano, Lombardia",45.5711618,9.1639813
"94","IrmaGami","Distrito Federal, México",19.4326077,-99.133208
"95","WESmith91","Manchester, England",53.4807593,-2.2426305
"96","wsbradio","Atlanta",33.7489954,-84.3879824
"97","PlinioValerio45","Manaus, Brazil",-3.1190275,-60.0217314
"98","Luca71012804","Caserta ",41.0854362,14.367553
"99","slencontacto","San Luis Potosí México",22.1564699,-100.9855409
"100","SESPublicHealth","Sydney, NSW",-33.8688197,151.2092955
"101","CriterioHidalgo","Pachuca, Hidalgo, México",20.1010608,-98.7591311
"102","niccolo_romegdr","Roma, Lazio",41.8902259,12.5065278
"103","GossipGirl_GG_x","Manhattan, NY",40.7830603,-73.9712488
"104","news_bologna","Bologna, Emilia Romagna",44.494887,11.3426162
"105","Quadratin_Edomx","Estado de México",19.4968732,-99.7232673
"106","sidneyleite_","Amazonas",-3.4168427,-65.8560646
"107","OR4MedFreedom","Oregon",43.8041334,-120.5542012
"108","SemsaManaus","Manaus, Brasil",-3.1190275,-60.0217314
"109","thewrll","Bellevue, WA",47.6101497,-122.2015159
"110","PedsMamaDoc","Minneapolis, MN",44.977753,-93.2650108
"111","poandpo","World",36.7491737,-95.972262
"113","hewittj15","Ontario, Canada",51.253775,-85.323214
"114","flavioneviano","niederbipp",47.2716158,7.6907179
"115","EDub56","San Francisco, CA",37.7749295,-122.4194155
"116","CoatzaDigital","Coatzacoalcos, Veracruz",18.1344779,-94.4589858
"117","Salud_CZ8","Guayaquil - Ecuador",-2.1709979,-79.9223592
"118","jamiefriesen","Dedmonton",42.4539038,-82.9131836
"120","Majin79","Napoli, Campania",40.8517983,14.26812
"121","EugeneBu","Wrightwood, CA",34.3608341,-117.6333884
"122","HeatherOEPR","Jackson, MS",32.2987573,-90.1848103
"123","moifra58","Sardinia, Italy",40.1208752,9.0128926
"126","emsavalles","Ciudad valles, San Luis Potosí",22.0025712,-99.0018424
"127","jeff_ak","Tokyo Japan",35.6894875,139.6917064
"128","EBmedicine","Norcross, GA",33.9412127,-84.2135309
"129","ickystijl","Arizona, USA",34.0489281,-111.0937311
"130","Influenza_404","Austria",47.516231,14.550072
"131","Mariann68224535","Lazio, Italy",41.6552418,12.989615
"132","realmrkimbell","Jeffersonville, Indiana",38.2775702,-85.7371847
"133","waitfornialler","Mac Laren’s Pub ",40.7649588,-73.9828743
"134","CDCFlu","Atlanta, GA",33.7489954,-84.3879824
"135","Alexbateman1","Cambridge",52.205337,0.121817
"136","Arthurvneto","Manaus, Brasil",-3.1190275,-60.0217314
"137","SwineFluFlash","London",51.5073509,-0.1277583
"138","SintesisHgo","Hidalgo, México",20.0910963,-98.7623874
"139","ceci_beauty","Pinole, CA",38.0043667,-122.2988587
"140","De_PoliticayMas","Tecomán, Colima",18.9173829,-103.8738031
"141","Iovehearts","Kilkenny, Ireland",52.6541454,-7.2447879
"142","XENR1","Nueva Rosita, Coahuila, México",27.9372635,-101.2174256
"143","GabiPie1","New York, USA",40.7127753,-74.0059728
"144","medevidenceblog","Salt Lake City, Utah",40.7607793,-111.8910474
"145","_eleanorx","Firenze, Toscana",43.7695604,11.2558136
"146","ejclark64","Colorado, USA",39.5500507,-105.7820674
"147","TCUPhysAstro","Texas Christian University",32.7095936,-97.3635602
"148","master_usmle_rv","Massachusetts, USA",42.4072107,-71.3824374
"149","buzzyhelps","Atlanta, GA",33.7489954,-84.3879824
"150","dfaber84","Washington, USA",47.7510741,-120.7401385
"151","Respiratory_Bio","London",51.5073509,-0.1277583
"152","Vaccine_bio","London",51.5073509,-0.1277583
"153","Piergiulio58","<U+0001F4CD>Lake Como and surroundings",46.0160486,9.2571676
"154","NursesWhoVax","New York",40.7127753,-74.0059728
"155","BiologicalB","England, United Kingdom",52.3555177,-1.1743197
"156","ARIES_SERBEL","México",23.634501,-102.552784
"157","morrisanimalinn","Morristown, NJ",40.7967667,-74.4815438
"158","Angelredblack1","Spoltore, Abruzzo",42.4414803,14.1349852
"159","erikmoldwarrior","Reno",39.5296329,-119.8138027
"160","PLWilds","Romagna",44.5967607,11.2186396
"161","ranmiomir","Niš, Srbija",43.3209022,21.8957589
"162","LorenaPerone","Napoli",36.3331041,-94.1790315
"163","prosalud_ac","Distrito Federal, México",19.4326077,-99.133208
"164","TAGEBLATTonline","Stade, Deutschland",53.5928618,9.4709494
"165","WholeHealthRx","Toronto, Ontario",43.653226,-79.3831843
"166","riccardo970","venezia",45.4408474,12.3155151
"167","anvisa_oficial","Brasília, DF, Brasil",-15.826691,-47.9218204
"168","WrittleOfficial","Chelmsford, England",51.7355868,0.4685497
"169","MDedgePediatric","Rockville, MD",39.0839973,-77.1527578
"170","AH_LKS","Liverpool, England",53.4083714,-2.9915726
"171","Infosistemacol","Colima, México",19.1222634,-104.0072348
"172","RadioR101","Italia",41.87194,12.56738
"173","EliseoBonanno","Villafranca Tirrena, Sicilia",38.235485,15.4328209
"174","ScuolePsicotera","Francavilla al Mare",42.4087027,14.2802961
"175","MDedgeFamilyMed","Rockville, MD & Parsippany, NJ",39.0839973,-77.1527578
"176","BabyBabydoll77","Napoli, Campania",40.8517983,14.26812
"177","suitS_VG","São Bernardo do Campo, Brasil",-23.6898429,-46.5648481
"178","Timrasmussen7","Danmark",56.26392,9.501785
"179","emmabaccaglio","Domodossola e dintorni",46.1160889,8.2946285
"180","samuelodusami","Lagos",6.5243793,3.3792057
"181","MitoMedicine","New York, NY",40.7127753,-74.0059728
"184","MietschieCore","Hanau, Deutschland",50.1264123,8.9283105
"185","justicafederal","Brasília, Brazil",-15.826691,-47.9218204
"186","robybrunelli","Brescia",45.5415526,10.2118019
"187","barabeke_it","Pianeta Terra",52.3680098,4.887771
"188","CleanPlanes","Los Angeles, CA",34.0522342,-118.2436849
"189","eastersealsns","Nova Scotia",44.6819866,-63.744311
"191","ageofcentraltx","Austin, Texas",30.267153,-97.7430608
"192","limesonline","Italy",41.87194,12.56738
"193","InfectDisNews","Thorofare, NJ",39.8422093,-75.1969346
"194","pulso_mx","San Luis Potosí",22.1564699,-100.9855409
"195","KiowaCoSchools","Greensburg, KS",37.6027963,-99.2926131
"196","GioiaEmiliano","Roma",36.0766378,-95.9036356
"197","akephalos6","Roma",36.0766378,-95.9036356
"198","Dominik_G_Cua","Calabria, Italy",39.3087714,16.3463791
"199","DrNetoPocoyo","Querétaro Arteaga, México",20.5888184,-100.3898876
"200","AngelErnestoIPN","Ciudad perruna.",22.891713,-109.912086
"201","FedUp5thGenAmer","New York City, NY",40.7127753,-74.0059728
"202","saludyenergia","MX",36.2332473,-95.8715409
