"","screenName","location","latitude","longitude"
"79","GreenLPharmaUK","Saint Helens, England",53.456307,-2.737095
"80","kelseyyvictoria","vacation.",36.2725826,-96.0510498
"82","Irisglo45789224","pacific NW",-8.783195,-124.508523
"83","7niner6","Pennsylvania, USA",41.2033216,-77.1945247
"84","lymph_lta","<U+798F><U+5CA1>",33.5903547,130.4017155
"85","VardSprak","Sverige",60.128161,18.643501
"86","ThomGambino","New York City",40.7127753,-74.0059728
"88","mooreraulsome","Oceanside, CA",33.1958696,-117.3794834
"89","DiagnosticCyto","Malden, MA",42.4250964,-71.066163
"90","Lymphwhatoedema","United Kingdom",55.378051,-3.435973
"91","RoboticPoetry","Washington, DC",38.9071923,-77.0368707
"92","AHRI_News","Durban & Somkhele, KZN",-29.8586804,31.0218404
"93","chasmalloy","Halifax N 44.649,W 63.575",44.6487635,-63.5752387
"94","LeslieBattenND","Spokane WA",47.6587802,-117.4260465
"96","AssociateMTs","Fort Wayne, IN",41.079273,-85.1393513
"97","mashihovibes","multi ",36.7499718,-95.9348204
"99","chhardman","Utah",39.3209801,-111.0937311
"100","LaredoHealth","Laredo, TX",27.5035613,-99.5075519
"101","chigu_rin","JAPAN",36.204824,138.252924
"104","juliciousjk","eng/fr",48.8609449,2.444215
"105","deepinsights19","Dunya",38.8138332,-77.1352756
"106","kayentatherium","toronto",43.653226,-79.3831843
"107","MSollender","California, USA",36.778261,-119.4179324
"108","GaunderSaige","Kalamazoo, MI",42.2917069,-85.5872286
"109","DrHeelan","West Palm Beach, FL.",26.7153424,-80.0533746
"111","PinkFortitude","Alexandria, VA",38.8048355,-77.0469214
"112","raneyanika","Philippines",12.879721,121.774017
"113","IJSurgery","Global",37.0329949,-95.6400855
"114","sandi_buchanan","Lubbock, TX",33.5778631,-101.8551665
"115","rozaalie","melbourne",-37.8136276,144.9630576
"118","BritishLymph","UK",55.378051,-3.435973
"119","phhooeebbee1","Yorba Linda, CA",33.8885035,-117.8132571
"120","rbripley","Earth",37.2321077,-95.7243335
"122","gdinspired1","World Wide",36.249758,-95.266826
"123","WrongEndotr","Kansas, USA",39.011902,-98.4842465
"125","lotte_dewinde","London, England",51.5073509,-0.1277583
"126","sn00zecrew","nah",41.3477592,-74.8830066
"127","Surgery2019","London, England",51.5073509,-0.1277583
"128","melodicire","NYC",40.7127753,-74.0059728
"129","sharda_singh","Trinidad and Tobago",10.691803,-61.222503
"130","LingerieLayla","Hudson Valley NY",41.9209018,-73.9612887
"132","rhodonotablink","ROSÉ ",45.5149498,-122.6734595
