"","screenName","location","latitude","longitude","state"
"1626","TheRealTYRIUM","Watertown, CT",41.6062042,-73.1183397,"Connecticut"
"1627","RicqualMachip","North Dakota, USA",47.5514926,-101.0020119,"North Dakota"
"1628","popcornouveau","New Jersey",40.0583238,-74.4056612,"New Jersey"
"1629","EatKetoWithMe","Seattle, WA",47.6062095,-122.3320708,"Washington"
"1630","mrdickenstein","McKinney, TX",33.1972465,-96.6397822,"Texas"
"1631","MarieSpeakman","Fargo, ND",46.8771863,-96.7898034,"North Dakota"
"1633","JayDee_DaDon","Neptune, NJ",40.2091219,-74.0386271,"New Jersey"
"1636","tardis_laydee","Space",36.7499658,-95.9626008,"Oklahoma"
"1637","J_biscuit72","Dirty South Tejas",33.9894529,-83.7381732,"Georgia"
"1639","jstagliareni","Iowa, USA",41.8780025,-93.097702,"Iowa"
"1640","WinslowDumaine","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"1641","ItsJustPay","Chicago",41.8781136,-87.6297982,"Illinois"
"1642","dchoiceofficial","Houston, TX",29.7604267,-95.3698028,"Texas"
"1643","KathiLaNasa","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"1645","ImRaeesaBTW","blackburn | leeds",40.52824,-79.650689,"Pennsylvania"
"1646","MysticMeerkat","The Lobby",39.7534123,-104.9886951,"Colorado"
"1648","TheLindus","nashville, obviously",36.1626638,-86.7816016,"Tennessee"
"1649","theemeens","Indianapolis, IN",39.768403,-86.158068,"Indiana"
"1650","Coleah","No. Central Missouri",38.97645,-92.328842,"Missouri"
"1651","britneyjparks","tulsa, ok",36.1539816,-95.992775,"Oklahoma"
"1652","TheKevinFertig","Fishers, IN",39.9567548,-86.01335,"Indiana"
"1653","wakeupangry","Chicago, IL",41.8781136,-87.6297982,"Illinois"
"1654","recordherald","Washington Court House, Ohio",39.5364511,-83.4390843,"Ohio"
"1655","JaymeKFraser","Missoula, MT",46.8721284,-113.9940314,"Montana"
"1656","ChrisKirschner","Atlanta, GA",33.7489954,-84.3879824,"Georgia"
"1657","zproxy","Antartica",-82.862752,135,"Georgia"
"1659","james3hart","Baldwin City, KS",38.775007,-95.1863603,"Kansas"
"1662","CyndiSparre","Here",36.7435531,-95.9359977,"Oklahoma"
"1663","slime_Flu_","Washington Heights, New York",40.8417082,-73.9393554,"New York"
"1665","J9DC","New Jersey",40.0583238,-74.4056612,"New Jersey"
"1666","GetGuapNooskie","Convent, Louisiana",30.0207933,-90.8300269,"Louisiana"
"1667","HaygoodLaw","Odessa, TX",31.8456816,-102.3676431,"Texas"
"1668","NursePatrickQ","Los Angeles via Pittsburgh",34.0522342,-118.2436849,"California"
"1669","NauticalTank","Tampa, FL",27.950575,-82.4571776,"Florida"
"1670","StLouisMB","St. Louis Mo",38.6270025,-90.1994042,"Missouri"
"1671","NMyLife","Chesapeake, VA  <U+0001F1FA><U+0001F1F2>",36.7682088,-76.2874927,"Virginia"
"1673","Just_Kerrri","Cleveland, OH",41.49932,-81.6943605,"Ohio"
"1675","JennileeWS","Texas",31.9685988,-99.9018131,"Texas"
"1676","beerinslaywood","Clearfield, UT",41.1107771,-112.0260538,"Utah"
"1677","NancyTran88","San Diego, CA",32.715738,-117.1610838,"California"
"1678","LMLMead","Rochester NY",43.1565779,-77.6088465,"New York"
"1681","arcturusii","LP, MN USA",45.9746867,-94.8655775,"Minnesota"
"1685","sydneymelvin31","Louisiana, USA",30.9842977,-91.9623327,"Louisiana"
"1686","Koedel526","Michigan, USA",44.3148443,-85.6023643,"Michigan"
"1688","AmericanJedi63","Texas, USA",31.9685988,-99.9018131,"Texas"
"1689","troysgirl","Tampa Florida",27.950575,-82.4571776,"Florida"
"1691","upnorthlive","Traverse City",44.7630567,-85.6206317,"Michigan"
"1692","benrapeisberger","Charm City",39.2903848,-76.6121893,"Maryland"
"1694","_annacathleen_","North Carolina, USA",35.7595731,-79.0192997,"North Carolina"
"1695","Hayliib","texas state university",29.888411,-97.938351,"Texas"
"1696","suzthom79","Chicago -R.I. -Vero Beach",41.9148113,-87.6251085,"Illinois"
"1698","BoxedCatGamers","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"1700","RobertJMartinTX","New York City",40.7127753,-74.0059728,"New York"
"1701","van_van023","San Antonio, TX",29.4241219,-98.4936282,"Texas"
"1702","InMy_OwnWords","Univ. of Alabama",33.2140233,-87.5391418,"Alabama"
"1704","typeatweets","Wisconsin, USA",43.7844397,-88.7878678,"Wisconsin"
"1705","Jon__Reed","Knoxville",35.9606384,-83.9207392,"Tennessee"
"1707","lwmallard","Alpharetta, GA",34.0753762,-84.2940899,"Georgia"
"1710","littlelyviajean","North Carolina, USA",35.7595731,-79.0192997,"North Carolina"
"1712","mmw_lmw","La Jolla, CA. USA",32.8328112,-117.2712717,"California"
"1715","WestonALF","Weston, FL",26.1003654,-80.3997748,"Florida"
"1717","kncrvl","Columbus, OH",39.9611755,-82.9987942,"Ohio"
"1718","dancesdivergent","PNW",41.5803315,-87.4743669,"Indiana"
"1719","buenaparknews","Buena Park, CA",33.8674044,-117.9981387,"California"
"1720","iamshakeena","Chelsea",42.3917638,-71.0328284,"Massachusetts"
"1721","JillianMayer","FLA  /// USA",27.6648274,-81.5157535,"Florida"
"1725","TheBahati","Is Everything",39.747624,-75.309831,"New Jersey"
"1730","pizzadunks","corn hell",36.8564014,-119.9627277,"California"
"1731","FingerLakes1","Seneca Falls, NY",42.9106219,-76.7966215,"New York"
"1734","mufid","Milky Way",42.3144108,-71.1040509,"Massachusetts"
"1735","angelinarose__","Austin, TX",30.267153,-97.7430608,"Texas"
"1738","andrebugotti","Hidden Hills, CA",34.1602832,-118.6523096,"California"
"1739","DRdiabloTHW","Old Bridge, NJ via Shaolin",40.4128551,-74.307282,"New Jersey"
"1740","candacerthomas","Irvine, California",33.6845673,-117.8265049,"California"
"1741","lukedgilman","Rowan University",39.7098595,-75.1189478,"New Jersey"
"1742","jtruglio","Saint Augustine, FL",29.9012437,-81.3124341,"Florida"
"1743","NChiral","in my parents' basement",33.7756673,-84.2723603,"Georgia"
"1744","lionellimcoolll","West Region, Singapore",1.4578955,103.7949187,"Georgia"
"1745","artkincell","CT USA My soul is everywhere.",41.6032207,-73.087749,"Connecticut"
"1749","__mickkyy","Oklahoma, USA",35.0077519,-97.092877,"Oklahoma"
"1750","katiejoyofosho","New York, NY",40.7127753,-74.0059728,"New York"
"1751","tamholland","Mostly Croatia & California",45.1,15.2000001,"New York"
"1752","LasTrain2London","divebar on the eastside <U+0001F943><U+0001F919><U+0001F3FD>",36.1886612,-86.7286557,"Tennessee"
"1754","cherie_lily","Willow Springs, MO",36.9922768,-91.9698742,"Missouri"
"1755","AlphaCatPA","Pennsylvania, USA",41.2033216,-77.1945247,"Pennsylvania"
"1756","AnnekeTweets","Capital District, NY",42.71581,-73.814473,"New York"
"1757","kevinjohn334","Pasadena, TX",29.6910625,-95.2091006,"Texas"
"1758","7th_Polk","Lynchburg, Va",37.4137536,-79.1422464,"Virginia"
"1760","LMGesmundo","New York, NY",40.7127753,-74.0059728,"New York"
"1761","ProfileTreeCali","California",36.778261,-119.4179324,"California"
"1762","SeanWestaway","NC & MA -- PEI & Nova Scotia",35.7595731,-79.0192997,"North Carolina"
"1763","texasguardian","Texas, USA",31.9685988,-99.9018131,"Texas"
"1765","joseph_struhs","Salt Lake City, UT",40.7607793,-111.8910474,"Utah"
"1768","Malkley1","Texas, USA",31.9685988,-99.9018131,"Texas"
"1769","reynaa_lara","Houston",29.7604267,-95.3698028,"Texas"
"1770","HousatonicITS","Connecticut and Massachusetts, USA",41.9915062,-72.7017741,"Connecticut"
"1773","realdowntownkb","San Diego, CA",32.715738,-117.1610838,"California"
"1775","TeeexasAngeeel","Pearland, TX",29.5635666,-95.2860474,"Texas"
"1777","helokidie","phoenix",33.4483771,-112.0740373,"Arizona"
"1778","KimbaSnowpaw","Bakersfield, CA",35.3732921,-119.0187125,"California"
"1780","amandamondrag","terabithia",38.5661615,-94.9933489,"Kansas"
"1782","DiaDiaFlu","Contato: DM",36.1898395,-95.9469936,"Oklahoma"
